Id,hed__Contact__c,hed__Program_Enrollment__c,hed__Program_Enrollment__r.hed__Contact__c,hed__Program_Enrollment__r.hed__Contact__r.FirstName,hed__Program_Enrollment__r.hed__Contact__r.LastName,hed__Course_Offering__c,hed__Course_Offering__r.hed__Course__c,hed__Course_Offering__r.hed__Course__r.Name,hed__Course_Offering__r.hed__Term__c,hed__Course_Offering__r.hed__Term__r.Name,hed__Course_Offering__r.hed__Term__r.hed__Start_Date__c,hed__Course_Offering__r.hed__Term__r.hed__End_Date__c,hed__Status__c,Notations__c
a098c00000rbTtXAAU,0038c00002jGrauAAC,,,,,a0B8c000012AKYmEAO,a0C8c00000XMMl2EAH,Interpréter les épîtres,a0P8c00000DpWsyEAF,H2022,2022-01-01,2022-04-30,Former,
a098c00000rbTtYAAU,0038c00002jGrauAAC,,,,,a0B8c000012AKYnEAO,a0C8c00000XMMl3EAH,Interpréter les épîtres,a0P8c00000DpWsyEAF,H2022,2022-01-01,2022-04-30,Former,
a098c00000rbTtrAAE,0038c00002jGs1IAAS,,,,,a0B8c000012AKYmEAO,a0C8c00000XMMl2EAH,Interpréter les épîtres,a0P8c00000DpWsyEAF,H2022,2022-01-01,2022-04-30,,AUD
a098c00000rbTtsAAE,0038c00002jGqVAAA0,,,,,a0B8c000012AKYmEAO,a0C8c00000XMMl2EAH,Interpréter les épîtres,a0P8c00000DpWsyEAF,H2022,2022-01-01,2022-04-30,Former,PPC
a098c00000rbTtwAAE,0038c00002jGqbWAAS,,,,,a0B8c000012AKYmEAO,a0C8c00000XMMl2EAH,Interpréter les épîtres,a0P8c00000DpWsyEAF,H2022,2022-01-01,2022-04-30,,R
a098c00000rbTu6AAE,0038c00002jGqo6AAC,,,,,a0B8c000012AKYmEAO,a0C8c00000XMMl2EAH,Interpréter les épîtres,a0P8c00000DpWsyEAF,H2022,2022-01-01,2022-04-30,,AUD
a098c00000rbTu7AAE,0038c00002jGr4dAAC,,,,,a0B8c000012AKYnEAO,a0C8c00000XMMl3EAH,Interpréter les épîtres,a0P8c00000DpWsyEAF,H2022,2022-01-01,2022-04-30,Former,R
a098c00000rbTuGAAU,0038c00002jGr9RAAS,,,,,a0B8c000012AKYmEAO,a0C8c00000XMMl2EAH,Interpréter les épîtres,a0P8c00000DpWsyEAF,H2022,2022-01-01,2022-04-30,,PPC
a098c00000rbTuaAAE,0038c00002jGrAqAAK,,,,,a0B8c000012AKZfEAO,a0C8c00000XMMZSEA5,Doctrines essentielles III,a0P8c00000DpWsyEAF,H2022,2022-01-01,2022-04-30,Current,
a098c00000rbTufAAE,0038c00002jGqxhAAC,,,,,a0B8c000012AKZfEAO,a0C8c00000XMMZSEA5,Doctrines essentielles III,a0P8c00000DpWsyEAF,H2022,2022-01-01,2022-04-30,,R
a098c00000rbTukAAE,0038c00002jGqyGAAS,,,,,a0B8c000012AKZfEAO,a0C8c00000XMMZSEA5,Doctrines essentielles III,a0P8c00000DpWsyEAF,H2022,2022-01-01,2022-04-30,,AUD
a098c00000rbTupAAE,0038c00002jGrrMAAS,,,,,a0B8c000012AKZfEAO,a0C8c00000XMMZSEA5,Doctrines essentielles III,a0P8c00000DpWsyEAF,H2022,2022-01-01,2022-04-30,,AUD
a098c00000rbTuqAAE,0038c00002jGr9RAAS,,,,,a0B8c000012AKZfEAO,a0C8c00000XMMZSEA5,Doctrines essentielles III,a0P8c00000DpWsyEAF,H2022,2022-01-01,2022-04-30,,PPC
a098c00000rbTuuAAE,0038c00002jGrWYAA0,,,,,a0B8c000012AKZfEAO,a0C8c00000XMMZSEA5,Doctrines essentielles III,a0P8c00000DpWsyEAF,H2022,2022-01-01,2022-04-30,,R
a098c00000rbTuvAAE,0038c00002jGrAqAAK,,,,,a0B8c000012AKZuEAO,a0C8c00000XMMaPEAX,Doctrines Essentielles III,a0P8c00000DpWsyEAF,H2022,2022-01-01,2022-04-30,Current,
a098c00000rbTuzAAE,0038c00002fQq2RAAS,,,,,a0B8c000012AKZfEAO,a0C8c00000XMMZSEA5,Doctrines essentielles III,a0P8c00000DpWsyEAF,H2022,2022-01-01,2022-04-30,,AUD
a098c00000rbTv0AAE,0038c00002jGrB6AAK,,,,,a0B8c000012AKZfEAO,a0C8c00000XMMZSEA5,Doctrines essentielles III,a0P8c00000DpWsyEAF,H2022,2022-01-01,2022-04-30,,R
a098c00000rbTvEAAU,0038c00002jGs87AAC,,,,,a0B8c000012AKZuEAO,a0C8c00000XMMaPEAX,Doctrines Essentielles III,a0P8c00000DpWsyEAF,H2022,2022-01-01,2022-04-30,Former,E
a098c00000rbTvYAAU,0038c00002jGrXUAA0,,,,,a0B8c000012AKaTEAW,a0C8c00000XMMX3EAP,AT IV : Les Prophètes,a0P8c00000DpWsyEAF,H2022,2022-01-01,2022-04-30,Current,
a098c00000rbTvZAAU,0038c00002jGqXBAA0,,,,,a0B8c000012AKaTEAW,a0C8c00000XMMX3EAP,AT IV : Les Prophètes,a0P8c00000DpWsyEAF,H2022,2022-01-01,2022-04-30,,AUD
a098c00000rbTvaAAE,0038c00002jGs5LAAS,,,,,a0B8c000012AKaTEAW,a0C8c00000XMMX3EAP,AT IV : Les Prophètes,a0P8c00000DpWsyEAF,H2022,2022-01-01,2022-04-30,,INC
a098c00000rbTvbAAE,0038c00002jGs7NAAS,,,,,a0B8c000012AKaTEAW,a0C8c00000XMMX3EAP,AT IV : Les Prophètes,a0P8c00000DpWsyEAF,H2022,2022-01-01,2022-04-30,,PPC
a098c00000rbTvdAAE,0038c00002jGqw2AAC,,,,,a0B8c000012AKaTEAW,a0C8c00000XMMX3EAP,AT IV : Les Prophètes,a0P8c00000DpWsyEAF,H2022,2022-01-01,2022-04-30,,AUD
a098c00000rbTviAAE,0038c00002jGryqAAC,,,,,a0B8c000012AKaTEAW,a0C8c00000XMMX3EAP,AT IV : Les Prophètes,a0P8c00000DpWsyEAF,H2022,2022-01-01,2022-04-30,,R
a098c00000rbTvnAAE,0038c00002jGqRWAA0,,,,,a0B8c000012AKaTEAW,a0C8c00000XMMX3EAP,AT IV : Les Prophètes,a0P8c00000DpWsyEAF,H2022,2022-01-01,2022-04-30,,R
a098c00000rbTw2AAE,0038c00002jGqjoAAC,,,,,a0B8c000012AKadEAG,a0C8c00000XMMZQEA5,Doctrines essentielles II,a0P8c00000DpWsyEAF,H2022,2022-01-01,2022-04-30,Current,
a098c00000rbTw3AAE,0038c00002jGryHAAS,,,,,a0B8c000012AKadEAG,a0C8c00000XMMZQEA5,Doctrines essentielles II,a0P8c00000DpWsyEAF,H2022,2022-01-01,2022-04-30,,AUD
a098c00000rbTw7AAE,0038c00002jGs88AAC,,,,,a0B8c000012AKadEAG,a0C8c00000XMMZQEA5,Doctrines essentielles II,a0P8c00000DpWsyEAF,H2022,2022-01-01,2022-04-30,,AUD
a098c00000rbTwCAAU,0038c00002jGrAEAA0,,,,,a0B8c000012AKadEAG,a0C8c00000XMMZQEA5,Doctrines essentielles II,a0P8c00000DpWsyEAF,H2022,2022-01-01,2022-04-30,Former,AUD
a098c00000rbTwHAAU,0038c00002jGqYpAAK,,,,,a0B8c000012AKadEAG,a0C8c00000XMMZQEA5,Doctrines essentielles II,a0P8c00000DpWsyEAF,H2022,2022-01-01,2022-04-30,,AUD
a098c00000rbTwMAAU,0038c00002jGqTvAAK,,,,,a0B8c000012AKadEAG,a0C8c00000XMMZQEA5,Doctrines essentielles II,a0P8c00000DpWsyEAF,H2022,2022-01-01,2022-04-30,,R
a098c00000rbTwWAAU,0038c00002jGr6sAAC,,,,,a0B8c000012AKb2EAG,a0C8c00000YJjOoEAL,Éthique pour le conseiller biblique,a0P8c00000DpWsyEAF,H2022,2022-01-01,2022-04-30,Current,
a098c00000rbTwbAAE,0038c00002jGrUHAA0,,,,,a0B8c000012AKb2EAG,a0C8c00000YJjOoEAL,Éthique pour le conseiller biblique,a0P8c00000DpWsyEAF,H2022,2022-01-01,2022-04-30,Former,R
