Id,Name,hed__Course_ID__c
a0C8c00000XMMZDEA5,1 Corinthiens,NT3215a
a0C8c00000XMMZ0EAP,1ère Épitre de Pierre,NT2214
a0C8c00000XMMZEEA5,2 Corinthiens,NT3215b
a0C8c00000XMMiCEAX,Actes des apôtres,NT7230
a0C8c00000XMMiDEAX,Actes des apôtres,NT9230
a0C8c00000XMMakEAH,Actes des apôtres,NT2230
a0C8c00000XMMiAEAX,Actes à Apocalypse,NT1202
a0C8c00000XMMiBEAX,Actes à Apocalypse,NT5202
a0C8c00000XMMXbEAP,Administration,EP2515
a0C8c00000XMMd7EAH,Adoration,IMS702
a0C8c00000YK1qcEAD,Adorer Dieu,CBE108
a0C8c00000XMMcWEAX,Affections spirituelles et coaching,EP2570
a0C8c00000XMMXREA5,Affermissement Égl. Paul,EP2120
a0C8c00000XMMiEEAX,Aide aux couples,EP3540
a0C8c00000XMMiFEAX,Aide aux couples,EP7540
a0C8c00000XMMiHEAX,Amillénarisme,TS8311
a0C8c00000XMMiGEAX,Amillénarisme,TS4311
a0C8c00000XMMbREAX,Amillénarisme,TS9311
a0C8c00000XMMdEEAX,Amour,IMS709
a0C8c00000XMMZnEAP,Ancien Testament I en lectures dirigées,AT3101
a0C8c00000XMMZoEAP,Ancien Testament II en lectures dirigées,AT3102
a0C8c00000XMMZpEAP,Ancien Testament III en lectures dirigées,AT3103
a0C8c00000XMMZqEAP,Ancien Testament IV en lectures dirigées,AT3104
a0C8c00000XMMXgEAP,Anim. Techn. counseling I & II,EP6530-31
a0C8c00000XMMXfEAP,Anim. techn. counseling I et II,EP7530-31
a0C8c00000XMMaKEAX,Animation d'une étude biblique,EP1505
a0C8c00000XMMXIEA5,Animation petits groupes,EP1504
a0C8c00000XMMXxEAP,Animation relation d'aide I,EP3530
a0C8c00000XMMXyEAP,"Animation relation d'aide I,II",EP3530-31
a0C8c00000XMMXzEAP,Animation relation d'aide II,EP3531
a0C8c00000XMMY0EAP,Animation relation d'aide III,EP3532
a0C8c00000XMMXiEAP,Animation tech. counseling I,EP7530
a0C8c00000XMMXlEAP,Animation tech. counseling II,EP7531
a0C8c00000XMMXmEAP,Animation tech. counseling III,EP7532
a0C8c00000XMMiIEAX,Anthropologie / Hamartiologie,TS3311
a0C8c00000XMMiJEAX,Anthropologie / Hamartiologie,TS7311
a0C8c00000XMMiKEAX,Anthropologie biblique,TS3305
a0C8c00000XMMiLEAX,Anthropologie biblique,TS6305
a0C8c00000XMMbOEAX,Anthropologie biblique,TS9135
a0C8c00000XMMZUEA5,Anthropologie biblique I,TS3305a
a0C8c00000XMMZVEA5,Anthropologie biblique II,TS3305b
a0C8c00000XMMYQEA5,Anthropologie culturelle,EP8602
a0C8c00000XMMiNEAX,Anthropologie missionnaire,MI8602
a0C8c00000XMMiMEAX,Anthropologie missionnaire,MI4602
a0C8c00000YJf0eEAD,Apocalypse,NT9218
a0C8c00000YJf0ZEAT,Apocalypse,NT7218
a0C8c00000XMMZHEA5,Apocalypse,NT3218
a0C8c00000XMMiOEAX,Apologétique,HP3220
a0C8c00000XMMiPEAX,Apologétique,HP7220
a0C8c00000XMMccEAH,Apologétique,HP9420
a0C8c00000XMMcsEAH,Appel,IMS504
a0C8c00000XMMiREAX,Application des Écritures en counseling,EP5553
a0C8c00000XMMiQEAX,Application des Écritures en counseling,EP3553
a0C8c00000XMMY9EAP,Application des Écritures en counseling biblique,EP7553
a0C8c00000XMMYiEAP,Approche fonc. appr. du grec,LA1722
a0C8c00000YK1r7EAD,Aptitude en entreprenariat,CBE613
a0C8c00000YK1r2EAD,Aptitude à enseigner,CBE603
a0C8c00000g06b9EAA,Archéologie biblique,BI7110
a0C8c00000XMMXCEA5,Archéologie biblique,BI3110
a0C8c00000YK1qjEAD,Articuler son appel,CBE210
a0C8c00000ZMkxREAT,Assistance aux personnes en situation de crise,HP34340
a0C8c00000XMMiTEAX,AT I : Pentateuque,AT5101
a0C8c00000XMMiSEAX,AT I : Pentateuque,AT1101
a0C8c00000YJgiCEAT,AT II : Les livres historiques,AT5102
a0C8c00000XMMX1EAP,AT II : Les livres historiques,AT1102
a0C8c00000XMMX2EAP,AT III : Les livres poétiques,AT1103
a0C8c00000YJgiDEAT,AT III : Les livres poétiques,AT5103
a0C8c00000XMMX3EAP,AT IV : Les Prophètes,AT1104
a0C8c00000YJgiEEAT,AT IV : Les Prophètes,AT5104
a0C8c00000XMMXBEA5,Atelier d'analyse de textes,BI2120
a0C8c00000YJgiIEAT,Atelier d'analyse de textes,BI6120
a0C8c00000XMMbcEAH,Atelier d'homilétique (lecture dirigée),EP1507
a0C8c00000XMMiUEAX,Atelier d'interprétation,BI2101
a0C8c00000XMMiVEAX,Atelier d'interprétation,BI6101
a0C8c00000XMMiWEAX,Atelier d'interprétation : Découvrir la poésie biblique dans les Psaumes,BI2126
a0C8c00000XMMiXEAX,Atelier d'interprétation : Découvrir la poésie biblique dans les Psaumes,BI5126
a0CON00000Cx0Ce2AJ,Atelier d'interprétation : Exode,BI2127
a0C8c00000XMMcFEAX,Atelier d'interprétation : genre épistolaire,BI2123
a0CON00003JKeBx2AL,Atelier d'interprétation : Habaquq,BI2129
a0C8c00000XMMiYEAX,Atelier d'interprétation : La littérature apocalyptique,BI2125
a0C8c00000XMMiZEAX,Atelier d'interprétation : La littérature apocalyptique,BI5125
a0C8c00000XMMbnEAH,Atelier d'interprétation : Les Évangiles,BI2121
a0CON00001nPFUm2AO,Atelier d'interprétation : Marc,BI2128
a0C8c00000XMMiaEAH,Atelier d'interprétation : Sagesse et poésie,BI2124
a0C8c00000XMMibEAH,Atelier d'interprétation : Sagesse et poésie,BI8124
a0CON00001fLYwA2AW,Atelier de formation en counseling biblique I,EP8581
a0CON00001fLgKs2AK,Atelier de formation en counseling biblique I,EP4581
a0CON00001fLD6a2AG,Atelier de formation en counseling biblique II,EP8582
a0CON00001fLftC2AS,Atelier de formation en counseling biblique II,EP4582
