Id,Name,hed__Program_Plan__c,hed__Course__c
a0I8c00001XiS3AEAV,Actes à Apocalypse,,a0C8c00000XMMiAEAX
a0I8c00001XiS2CEAV,Actes à Apocalypse,,a0C8c00000XMMiAEAX
a0I8c00001XiR9AEAV,Actes à Apocalypse,,a0C8c00000XMMiAEAX
a0I8c00001XiS7nEAF,Adorations,,a0C8c00000XMMd7EAH
a0I8c00001XiOI5EAN,Adorer Dieu,,a0C8c00000YK1qcEAD
a0I8c00001XiOISEA3,Adorer Dieu,,a0C8c00000YK1qcEAD
a0I8c00001XiS8KEAV,Amour,,a0C8c00000XMMdEEAX
a0I8c00001XiS76EAF,Apologétique,,a0C8c00000XMMiOEAX
a0I8c00001XiS7dEAF,Appel,,a0C8c00000XMMcsEAH
a0I8c00001XiS8REAV,Appel,,a0C8c00000XMMcsEAH
a0I8c00001XiOIEEA3,Articuler son appel,,a0C8c00000YK1qjEAD
a0I8c00001XiRAcEAN,Christologie et sotériologie,,a0C8c00000YK8OiEAL
a0I8c00001XiS6rEAF,Christologie et sotériologie,,a0C8c00000YK8OiEAL
a0I8c00001XiS2QEAV,Christologie et sotériologie,,a0C8c00000YK8OiEAL
a0I8c00001XiS9HEAV,Communauté,,a0C8c00000XMMd8EAH
a0I8c00001XiS8EEAV,Communauté,,a0C8c00000XMMd8EAH
a0I8c00001XiS8xEAF,Communication,,a0C8c00000YJf0EEAT
a0I8c00001XiS7zEAF,Communication,,a0C8c00000YJf0EEAT
a0I8c00001XiOIDEA3,Communiquer efficacement,,a0C8c00000YK1qpEAD
a0I8c00001XiOIQEA3,Connaître Dieu,,a0C8c00000YK1qREAT
a0I8c00001XiOHuEAN,Connaître Dieu,,a0C8c00000YK1qREAT
a0I8c00001XiOHvEAN,Connaître l'Histoire,,a0C8c00000YK1qUEAT
a0I8c00001XiOIWEA3,Connaître l'Évangile,,a0C8c00000YK1qQEAT
a0I8c00001XiOHpEAN,Connaître l'Évangile,,a0C8c00000YK1qQEAT
a0I8c00001XiOB8EAN,Connaître le Dieu trinitaire,,a0C8c00000YJjaSEAT
a0I8c00001XiS6hEAF,Connaître le Dieu trinitaire,,a0C8c00000YJjaNEAT
a0I8c00001XiO9vEAF,Connaître le Dieu trinitaire,,a0C8c00000YJjaSEAT
a0I8c00001XiR9UEAV,Connaître le Dieu trinitaire,,a0C8c00000YJjaNEAT
a0I8c00001XiS2EEAV,Connaître le Dieu trinitaire,,a0C8c00000YJjaNEAT
a0I8c00001XiOI0EAN,Connaître le Fils,,a0C8c00000YK1qVEAT
a0I8c00001XiOIZEA3,Connaître qui nous sommes,,a0C8c00000YK1qeEAD
a0I8c00001XiOHeEAN,Connaître qui nous sommes,,a0C8c00000YK1qeEAD
a0I8c00001XiOILEA3,Connaître son contexte,,a0C8c00000YK1qdEAD
a0I8c00001XiOInEAN,Connaître son contexte,,a0C8c00000YK1qdEAD
a0I8c00001XiS1IEAV,Counseling Biblique I,,a0C8c00000XMMizEAH
a0I8c00001XiO9REAV,Counseling Biblique I,,a0C8c00000XMMj0EAH
a0I8c00001XiOBIEA3,Counseling biblique I,,a0C8c00000XMMj0EAH
a0I8c00001XiOJ7EAN,Counseling biblique I,,a0C8c00000XMMizEAH
a0I8c00001XiS6gEAF,Counseling biblique I,,a0C8c00000XMMizEAH
a0I8c00001XiOJ8EAN,Counseling biblique II,,a0C8c00000XMMj2EAH
a0I8c00001XiO9SEAV,Counseling Biblique II,,a0C8c00000XMMj3EAH
a0I8c00001XiS1NEAV,Counseling biblique II,,a0C8c00000XMMj2EAH
a0I8c00001XiOJCEA3,Counseling biblique III,,a0C8c00000XMMYPEA5
a0I8c00001XiS1OEAV,Counseling biblique III,,a0C8c00000XMMYPEA5
a0I8c00001XiO9WEAV,Counseling biblique III,,a0C8c00000YJgiNEAT
a0I8c00001XiOJ3EAN,Counseling biblique marital,,a0C8c00000XMMj4EAH
a0I8c00001XiS1TEAV,Counseling biblique marital,,a0C8c00000XMMj4EAH
a0I8c00001XiO9gEAF,Counseling biblique marital,,a0C8c00000XMMj5EAH
a0I8c00001XiS1cEAF,Counseling et physiologie I,,a0C8c00000XMMjBEAX
a0I8c00001XiOJREA3,Counseling et physiologie I,,a0C8c00000XMMjBEAX
a0I8c00001XiS1hEAF,Counseling et physiologie II,,a0C8c00000XMMjDEAX
a0I8c00001XiOIoEAN,Counseling et physiologie II,,a0C8c00000XMMjDEAX
a0I8c00001XiS9SEAV,Couronnement,,a0C8c00000XMMdFEAX
a0I8c00001XiS8LEAV,Couronnement,,a0C8c00000XMMdFEAX
a0I8c00001XiS7vEAF,Création,,a0C8c00000XMMdCEAX
a0I8c00001XiS8AEAV,Culture,,a0C8c00000XMMd6EAH
a0I8c00001XiS9REAV,Culture,,a0C8c00000XMMd6EAH
a0I8c00001XiS7jEAF,Dieu,,a0C8c00000XMMcvEAH
a0I8c00001XiS7XEAV,Dieu,,a0C8c00000XMMcvEAH
a0I8c00001XiOI6EAN,Diriger une équipe,,a0C8c00000YK1qiEAD
a0I8c00001XiS8iEAF,Discipulat,,a0C8c00000XMMd1EAH
a0I8c00001XiOHzEAN,Découvrir la révélation,,a0C8c00000YK1qSEAT
a0I8c00001XiS6mEAF,Eschatologie : l'espérance chrétienne pour aujourd'hui,,a0C8c00000YK8OsEAL
