Id,Name
a0K8c00000eF3hYEAS,ANCIENS PROGRAMMES D'ÉTUDES
a0K8c00000eF3hdEAC,HORS PROGRAMME
a0K8c00000fNlvHEAS,A.E.S. COUNSELING BIBLIQUE 2022
a0K8c00000fNlvIEAS,Attestation en études théologiques (30 u.) v2022
a0K8c00000fNlvMEAS,Attestation d’études en counseling biblique (30 u.) v2022
a0K8c00000fNlvREAS,Attestation d’études en aumônerie (30 u.) v2022
a0K8c00000fNmOZEA0,A.E.S. RECHERCHE 2022
a0K8c00000fNmOeEAK,A.E.S. ÉTUDES THÉOLOGIQUES 2022
a0K8c00000fNmT3EAK,A.E.S. AUMÔNERIE 2022
a0K8c00000fOD14EAG,B.A. LEADERSHIP CHRÉTIEN (BALC) 2022
a0K8c00000fOD19EAG,CERT. FONDEMENTS CHRÉTIENS (CFC) 2022
a0K8c00000fOD1AEAW,M.A. LEADERSHIP BIBLIQUE (MALB) 2022
a0K8c00000fOD1EEAW,D.E.S. COUNSELING BIBLIQUE 2022
a0K8c00000fOD1OEAW,Diplôme d'études théologiques en ministère pastoral (90 u.) v2022
a0K8c00000fOD1TEAW,D.E.T. COUNSELING BIBLIQUE 2022
a0K8c00000fOD1YEAW,Diplôme de Théologie en ministère pastoral (90 u.) v2022
a0K8c00000fOD1dEAG,MAÎTRISE EN DIVINITÉ (M.DIV.) 2022
a0K8c00000fw4rlEAA,Microprogramme pour femme 1977
a0K8c00000fw4rmEAA,Microprogramme Évangile 360
a0K8c00000fw4rqEAA,Microprogramme counseling 2015
a0KON0000051yKH2AY,Microprogramme en aumônerie
a0KON000006qEzX2AU,Microprogramme en aumônerie
